SampleID,Archaea;Euryarchaeota,Bacteria,Bacteria;Acidobacteria,Bacteria;Actinobacteria,Bacteria;Bacteroidetes,Bacteria;Chlamydiae,Bacteria;Chloroflexi,Bacteria;Cyanobacteria,Bacteria;Firmicutes,Bacteria;Fusobacteria,Bacteria;Gemmatimonadetes,Bacteria;Lentisphaerae,Bacteria;Nitrospirae,Bacteria;Planctomycetes,Bacteria;Proteobacteria,Bacteria;Synergistetes,Bacteria;TM7,Bacteria;Tenericutes,Bacteria;Verrucomicrobia,Bacteria;WPS-2,Bacteria;[Thermi]
SRR33299579,0.0,0.0,0.3141463700140945,16.646342976290335,39.11618980778265,0.0,0.22439026429578185,0.0,36.748010478390896,0.3365853964436727,0.2141907068277917,0.0,0.39268296251761825,0.0,1.2559971909739545,0.19634148125880913,0.3141463700140945,0.0,4.2409759951902775,0.0,0.0
SRR33299580,0.0,0.7928669882866746,0.0,21.421772216136713,1.7800333966277913,1.5857339765733491,0.0,0.0,29.723763818719263,2.7939122444387583,0.0,0.0,0.0,0.9910837353583433,20.590785381197758,0.0,1.189300482430012,0.7362336319804836,18.39451412825085,0.0,0.0
SRR33299581,0.0,0.0,0.09643324578100346,0.3406609225959361,0.5355284992976674,0.0,0.17220222460893475,0.16072207630167243,0.544327031934584,0.252563262759771,0.08766658707363952,0.0,0.12054155722625431,0.0,96.4494985752362,0.0,0.04821662289050173,0.5166066738268041,0.6750327204670241,0.0,0.0
SRR33299582,1.0875810793830312,0.5437905396915156,0.0,0.9102580773097108,59.57837932691352,0.5437905396915156,0.0,0.0,11.610970129719885,6.396012538276398,0.049435503608319595,0.0,0.1359476349228789,0.1359476349228789,3.356429997796321,0.06797381746143945,0.16313716190745467,0.19421090703268412,15.226135111362439,0.0,0.0
SRR33299583,0.0,0.0,0.1457452539055906,7.30944132087386,1.185548349951405,0.0,0.03123112583691227,0.0,3.2774908317305984,0.04164150111588303,0.07949741122123125,0.0,0.4372357617167718,0.10930894042919295,83.10263370726973,0.16396341064378944,0.0,0.9681649009442804,3.1480974843607576,0.0,0.0
SRR33299584,0.0,1.0024726343324033,0.13366301791098711,14.707774833176371,36.015051110640286,0.6683150895549355,0.04773679211106682,0.6683150895549355,20.711558112188552,5.569292412957797,0.0,0.0,0.16707877238873386,0.0,6.715690581557649,0.08353938619436693,0.13366301791098711,1.4798405554430716,11.896008594077854,0.0,0.0
SRR33299585,0.0,0.9127147893072232,0.030423826310240768,25.72136098272312,8.19098390957332,0.0,0.0,0.15211913155120382,19.18927191177625,0.4563573946536116,0.0,0.09127147893072231,0.0,0.0,1.0426142724295993,0.2852233716585072,0.31945017625752803,0.16298478380486126,43.445223971023815,0.0,0.0
SRR33299586,0.0,0.9060197859285756,0.0,6.716364065253136,62.382864311762,1.2080263812381007,0.0,0.40267546041270025,16.590369274041723,0.0,0.0,0.0,0.0,0.0,1.1220619571050523,0.07550164882738129,0.0,0.08628759865986434,10.509829516771475,0.0,0.0
SRR33299587,0.0,0.0,0.1556917142637482,8.376891147886449,41.84291743621959,0.0,0.22241673466249734,1.037944761758321,31.462926624066046,0.03706945577708289,0.14153792205795288,0.0,0.0,0.0,7.178146077103895,2.6272976782007507,0.0778458571318741,3.725480305596831,3.113834285274963,0.0,0.0
SRR33299588,0.0,0.0,0.027788358771827327,0.38964111756149195,8.812644134614885,0.0,0.0893197246237307,0.1389417938591367,1.5806444493034186,0.158790621553299,0.03789321650703727,0.0,0.20841269078870503,0.0,82.62509417740074,2.292539598675755,0.125047614473223,1.0122902124022812,2.50095228946446,0.0,0.0
