SampleID,Unassigned,Bacteria,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;copri,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;onderdonkii,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;putredinis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;;,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;prausnitzii,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;albus,Bacteria;Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Sutterella;
SRR25446135,22.343152091496183,71.53391721190513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7402013558754128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3827293407232615,0.0,0.0
SRR25446136,9.254322893639877,31.341955388388186,0.0,0.0,0.05077000099347111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.35295171697847,0.0,0.0
SRR25446137,8.734166636356699,18.04798961848403,0.0,0.04812624537135867,0.0,0.0,0.0,0.0,0.0,0.3208416358090578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.84887586397885,0.0,0.0
SRR25446139,20.394067154843565,56.25874467879051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1109422880133545,0.0,0.0,20.462688678018715,2.773557200333862,0.0
SRR25446140,41.526025849217106,57.955074549466914,0.0,0.0,0.1810490820790981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005927202091875234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33192331714501316,0.0,0.0
SRR25446141,26.133986616541407,72.50211587630776,0.0,0.0,0.11482766664506637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126310433309573,0.0,0.0,1.1227594071962044,0.0,0.0
SRR25446143,23.015848918987523,76.25977811675178,0.0,0.0,0.12193238780850682,0.0,0.0,0.0,0.0,0.0,0.0,0.006326680499497995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5961138959527,0.0,0.0
SRR25446144,15.294761644238806,22.008677911560714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.696560444200486,0.0,0.0
SRR25446145,28.892248920428887,70.34912606805355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7586250115175863,0.0,0.0
SRR25446146,21.249808283324068,78.44752164251894,0.3026700741569878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR25446147,38.68094184470136,56.10693821209826,0.0,0.0,0.0,0.0,0.0,0.0,1.1303392647904449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.081780678409939,0.0,0.0
SRR25446149,18.727868439622714,80.04278495052111,0.0,0.0,0.33750062050100765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007915792804927685,0.0,0.0,0.0,0.8839301965502582,0.0,0.0
SRR25446150,12.197111207482934,87.80288879251707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR25446151,27.332987010750976,70.3625706892187,0.0,0.0,0.0,0.0,0.0,0.0,2.304442300030319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR25446152,36.82791031539875,39.8433829203382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.32870676426305,0.0,0.0
SRR25446153,34.672914183952344,59.10131863542054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.225767180627111,0.0,0.0
SRR25446154,24.06458467302776,74.50020684553155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21893010733841095,0.0,0.0,1.2162783741022831,0.0,0.0
SRR25446155,38.723818220786676,51.943540363836235,0.12620445321864024,0.0,0.0,0.0,0.0,0.0,1.514453438623683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007534594222008372,0.0,0.0,0.0,7.6844489293127625,0.0,0.0
SRR25446156,38.1827076719726,60.13424310170178,0.2002873087618338,0.0,0.0,0.0,0.0,0.3433496721631436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16022984700946707,0.0,0.0,0.9791823983911877,0.0,0.0
SRR25446157,43.64709777028682,53.94900658423444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00748618021083346,0.0,0.0,0.5015740741258419,1.894835391142069,0.0,0.0
SRR25446158,50.704581207855945,43.92453990628905,0.0,0.0,0.10028612027530104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2705927655797105,0.0,0.0
SRR25446159,48.95907876835308,50.810624289049635,0.0,0.0,0.0,0.0,0.2302969425972807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR25446160,9.341553288344656,34.5801104434176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.07833626823774,0.0,0.0
SRR25446162,24.38510132707484,22.242701348653675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.372197324271475,0.0,0.0
SRR25446163,38.63514512369679,53.20679680629555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2729461807809255,0.0,0.0,7.885111889226735,0.0,0.0
SRR25446167,47.09369869906373,44.00493749864402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7931908338676263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.108172968424626,0.0,0.0
SRR25446169,39.42579062890077,54.47115200876439,0.0,0.0,0.0,0.0,0.0,0.32989499255863985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.773162369776198,0.0
